"";"classe 1";"classe 2";"classe 3";"classe 4"
"não";0;0;0;0
"ao";0;0;0;0
"como";0,766;0;0,212;0
"eleitoral";0;0,806;0;0
"ministro";0;0;0;0
"fato";0;0;0;0,034
"eleição";0;0,511;0;0
"prova";0;0;0;0
"candidato";0;0;0;0
"voto";0,035;0;0;0,002
"senhor";0,348;0;0;0
"art";0;0;0;0
"abuso";0;0;0;0
"mais";0;0;0;0
"relator";0;0;0;0,666
"público";0;0;0,135;0,002
"conduta";0,001;0;0;0
"ação";0;0;0;0
"tse";0;0,815;0;0
"caso";0;0;0;0
"dever";0;0;0;0
"mesmo";0;0,142;0,253;0
"também";0,36;0,18;0;0
"presidente";0,426;0,352;0;0
"bem";0;0,002;0,02;0
"campanha";0;0;0;0,265
"já";0;0,588;0,221;0
"ainda";0;0,79;0;0,2
"ilícito";0,18;0;0;0
"forma";0,035;0;0;0,005
"direito";0,001;0;0;0
"dizer";0;0,15;0;0
"uso";0;0,278;0;0
"auto";0;0;0;0
"jurídico";0;0;0;0
"min";0;0;0;0
"próprio";0;0,001;0;0,01
"pessoa";0;0;0;0
"processo";0;0;0;0
"dje";0;0;0;0
"ato";0;0,637;0;0
"aije";0;0;0;0
"então";0;0,016;0;0
"gravidade";0,134;0;0;0
"mensagem";0;0;0;0,724
"sistema";0;0;0;0
"decisão";0;0;0;0
"investigar";0;0;0,508;0
"elemento";0;0;0;0,361
"julgamento";0;0;0;0
"empresa";0,387;0,015;0,001;0
"federal";0;0;0;0
"conteúdo";0;0;0;0
"quando";0,055;0,017;0,137;0,001
"pedir";0;0;0;0
"representar";0,008;0,052;0;0,76
"informação";0;0;0,001;0
"pleito";0;0,85;0;0
"brasil";0;0;0;0
"rel";0;0;0;0
"aqui";0;0;0;0
"prático";0,004;0;0;0
"investigado";0;0,264;0;0
"autor";0;0;0;0
"social";0;0;0;0
"reunião";0,029;0;0,138;0
"político";0;0;0;0
"meio";0;0;0,074;0,631
"inquérito";0,002;0;0;0
"id";0,228;0,115;0;0
"assim";0;0,008;0,017;0,672
"sentido";0;0;0;0
"indevido";0;0;0;0
"porque";0,771;0;0;0
"relação";0;0,022;0,236;0
"vez";0,714;0,216;0,159;0,003
"resultado";0;0,005;0,072;0,513
"apenas";0,6;0,327;0,4;0,419
"dar";0,063;0,294;0;0
"meios_de_comunicação";0;0;0;0
"defesa";0;0;0,002;0
"presidente_da_república";0;0;0;0
"discurso";0;0;0;0
"pedido";0;0;0;0
"ocorrer";0;0;0,11;0,013
"dia";0;0;0;0
"realizar";0;0;0,003;0
"modo";0;0;0;0,023
"probatório";0;0;0;0
"respeito";0;0,881;0,027;0
"julgar";0;0;0;0
"evento";0;0;0;0
"lei";0,36;0;0;0
"processual";0;0;0;0
"falar";0;0,19;0;0
